Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Christian Bethancourt","Brewers (AAA)","—",2018,104,391,418,116,74,22,0,20,59,71,20,0,76,1,6,0,12,6,1,0.296675191,0.327751196,0.506393861,0.834145057,0.358490408750242,0.047846889,0.181818181,"10028"
"Danny Ortiz","Phillies (AAA)","—",2018,118,392,418,91,56,20,0,15,43,61,19,1,101,3,4,0,11,0,1,0.232142857,0.270334928,0.397959183,0.668294111,0.2951779960156631,0.045454545,0.241626794,"10317"
"Rafael Ortega","Braves (AAA)","—",2019,111,431,493,123,65,34,3,21,83,58,59,1,95,2,1,0,1,14,7,0.28538283,0.373225152,0.524361948,0.8975871,0.38239412615454293,0.119675456,0.192697768,"10323"
"Wilfredo Tovar","Cardinals (AAA)","—",2018,108,360,389,107,86,15,1,5,41,47,24,0,42,2,3,0,8,11,5,0.297222222,0.341902313,0.386111111,0.728013424,0.32760300029519285,0.061696658,0.107969151,"10416"
"Carlos Perez","Orioles (AA)","—",2019,94,350,385,88,52,22,0,14,34,60,20,1,52,8,6,1,11,0,0,0.251428571,0.302083333,0.434285714,0.736369047,0.3293485202615006,0.051948051,0.135064935,"10642"
"Ryan LaMarre","Braves (AAA)","—",2019,112,405,455,126,85,24,8,9,55,53,38,0,118,9,3,0,7,19,9,0.311111111,0.38021978,0.476543209,0.856762989,0.3720538821849194,0.083516483,0.259340659,"10700"
"Rangel Ravelo","Cardinals (AAA)","—",2018,100,347,399,107,73,19,2,13,57,67,42,0,49,7,2,0,9,0,1,0.308357348,0.391959798,0.4870317,0.878991498,0.38933306333407686,0.105263157,0.122807017,"10839"
"Rangel Ravelo","Cardinals (AAA)","—",2019,95,334,381,100,67,20,1,12,50,56,37,1,61,9,1,0,9,0,1,0.299401197,0.383202099,0.473053892,0.856255991,0.3694030810343592,0.09711286,0.160104986,"10839"
"Adam Duvall","Braves (AAA)","—",2019,101,369,429,98,42,20,4,32,74,93,48,4,86,10,2,0,9,1,0,0.265582655,0.363636363,0.601626016,0.965262379,0.39707316707162293,0.111888111,0.2004662,"10950"
"Christian Colon","Reds (AAA)","—",2019,136,497,582,149,100,37,2,10,63,70,57,0,58,7,12,9,20,24,13,0.299798792,0.371727748,0.442655935,0.814383683,0.35538456598085466,0.097938144,0.099656357,"11145"
"Brett Nicholas","Padres (AAA)","—",2018,117,412,456,120,73,30,1,16,65,83,37,0,86,4,3,0,13,1,1,0.291262135,0.353070175,0.485436893,0.838507068,0.3668578176906234,0.08114035,0.188596491,"11192"
"Dixon Machado","Cubs (AAA)","—",2019,102,329,393,86,49,19,1,17,53,65,54,2,79,4,1,5,8,0,2,0.261398176,0.37113402,0.480243161,0.851377181,0.3628683924057323,0.13740458,0.201017811,"11472"
"Andrew Romine","Phillies (AAA)","—",2019,106,380,417,110,84,15,3,8,57,53,27,0,67,5,3,2,8,21,4,0.289473684,0.342168674,0.407894736,0.75006341,0.3296093613268381,0.064748201,0.160671462,"1159"
"Jarrett Parker","Angels (AAA)","—",2019,96,346,424,92,48,19,1,24,71,75,72,4,125,3,3,0,8,2,1,0.265895953,0.393867924,0.53468208,0.928550004,0.38764221994649795,0.16981132,0.29481132,"11624"
"Mason Williams","Orioles (AAA)","—",2019,121,442,494,136,100,15,3,18,62,67,46,1,86,0,3,3,7,4,7,0.307692307,0.370672097,0.477375565,0.848047662,0.3662418900703897,0.093117408,0.174089068,"11859"
"Hanser Alberto","Rangers (AAA)","—",2018,101,361,384,119,92,17,3,7,45,58,9,1,28,3,6,5,11,0,3,0.329639889,0.345646437,0.451523545,0.797169982,0.34830656584608494,0.0234375,0.072916666,"11902"
"Orlando Calixte","Giants (AAA)","—",2018,125,400,437,108,79,15,3,11,52,48,32,0,96,1,4,0,10,14,1,0.27,0.322654462,0.405,0.727654462,0.3230653158314441,0.073226544,0.219679633,"11905"
"Travis Taijeron","Mets (AAA)","—",2019,123,371,453,85,37,21,3,24,65,70,64,0,165,16,2,0,12,6,3,0.229110512,0.36423841,0.495956873,0.860195283,0.37000590773344566,0.141280353,0.36423841,"11935"
"Kennys Vargas","Twins (AAA)","—",2018,130,463,533,111,67,23,0,21,41,73,58,3,133,5,7,0,21,0,0,0.23974082,0.326454033,0.425485961,0.751939994,0.334251133450922,0.108818011,0.249530956,"12101"
"Matt Skole","White Sox (AAA)","—",2018,121,431,500,102,59,28,1,14,50,44,61,1,125,5,3,0,5,3,1,0.236658932,0.336,0.403712296,0.739712296,0.334052785603938,0.122,0.25,"12119"
"Matt Skole","White Sox (AAA)","—",2019,92,314,392,78,42,15,0,21,65,56,70,4,99,2,5,0,6,0,0,0.248407643,0.383631713,0.496815286,0.880446999,0.3754860812687443,0.178571428,0.25255102,"12119"
"Juniel Querecuto","Diamondbacks (AAA)","—",2019,102,386,408,111,77,19,6,9,48,51,16,0,70,2,3,1,10,7,4,0.287564766,0.316953316,0.437823834,0.75477715,0.3198126132716711,0.039215686,0.171568627,"12140"
"Jorge Bonifacio","Royals (AAA)","—",2019,117,451,500,100,57,18,5,20,67,62,38,1,121,4,7,0,5,6,4,0.22172949,0.284,0.416851441,0.700851441,0.2934275752079033,0.076,0.242,"12174"
"Ryan Court","Cubs (AAA)","—",2018,114,386,450,101,68,21,1,11,50,62,56,1,149,6,2,0,6,5,2,0.261658031,0.362222222,0.406735751,0.768957973,0.3476163844488777,0.124444444,0.331111111,"12268"
"Cory Spangenberg","Brewers (AAA)","—",2019,113,424,476,131,84,28,5,14,82,62,43,0,136,6,3,0,3,28,4,0.308962264,0.37815126,0.497641509,0.875792769,0.37317928283655344,0.090336134,0.285714285,"12294"
"Jace Peterson","Orioles (AAA)","—",2019,90,326,377,102,62,25,5,10,58,46,46,0,56,2,3,0,6,13,3,0.312883435,0.397877984,0.512269938,0.910147922,0.3919334433755445,0.122015915,0.148541114,"12325"
"Taylor Featherston","Royals (AA)","—",2019,102,359,391,86,57,12,4,13,45,49,19,0,150,9,3,1,5,3,6,0.239554317,0.292307692,0.403899721,0.696207413,0.3121742450273954,0.04859335,0.383631713,"12590"
"Billy Burns","Royals (AAA)","—",2018,102,376,425,96,82,9,1,4,51,36,30,0,54,4,4,11,1,10,8,0.255319148,0.314009661,0.316489361,0.630499022,0.29017026470479185,0.070588235,0.127058823,"12701"
"Andy Burns","Blue Jays (AAA)","—",2019,118,411,474,113,74,17,3,19,60,63,57,0,83,2,3,0,14,6,6,0.274939172,0.363636363,0.469586374,0.833222737,0.3609145209350747,0.120253164,0.175105485,"12779"
"Taylor Davis","Cubs (AAA)","—",2018,107,356,409,98,76,18,0,4,38,41,40,1,57,1,3,8,16,0,2,0.275280898,0.3475,0.359550561,0.707050561,0.32259737922434223,0.097799511,0.139364303,"12782"
"Socrates Brito","Blue Jays (AAA)","—",2019,97,394,428,111,60,28,7,16,66,67,29,1,97,0,4,1,4,11,7,0.281725888,0.327868852,0.510152284,0.838021136,0.35144483791270725,0.067757009,0.226635514,"12944"
"Socrates Brito","Diamondbacks (AAA)","—",2018,114,428,478,136,80,34,5,17,85,69,44,0,104,3,3,0,3,15,4,0.317757009,0.382845188,0.539719626,0.922564814,0.40021832231198395,0.092050209,0.217573221,"12944"
"Phillip Evans","Cubs (AAA)","—",2019,130,466,539,132,82,30,3,17,79,61,57,0,74,11,5,0,19,1,4,0.283261802,0.371057513,0.469957081,0.841014594,0.3613230357143565,0.105751391,0.13729128,"12950"
"Mitch Walding","Phillies (AAA)","—",2018,119,388,472,103,62,20,2,19,70,69,73,0,148,8,3,0,1,2,0,0.265463917,0.389830508,0.474226804,0.864057312,0.38705124163021476,0.154661016,0.313559322,"13006"
"John Andreoli","Mariners (AAA)","—",2018,89,327,388,94,68,18,5,3,54,36,55,1,86,5,1,0,6,19,5,0.287461773,0.396907216,0.40061162,0.797518836,0.36504318347580983,0.141752577,0.221649484,"13012"
"Mikie Mahtook","Tigers (AAA)","—",2019,98,354,415,92,53,17,1,21,64,56,51,1,106,5,4,1,6,14,7,0.259887005,0.357487922,0.491525423,0.849013345,0.3628688991502757,0.122891566,0.255421686,"13130"
"Zach Vincej","Mariners (AAA)","—",2018,109,385,430,95,72,14,3,6,46,51,33,0,64,6,2,4,11,7,5,0.246753246,0.31455399,0.345454545,0.660008535,0.3008397098438281,0.076744186,0.148837209,"13269"
"Zach Vincej","Orioles (AAA)","—",2019,101,366,399,99,69,22,0,8,49,51,24,1,64,3,4,2,11,0,4,0.270491803,0.317380352,0.396174863,0.713555215,0.31059053705798256,0.060150375,0.160401002,"13269"
"Ildemaro Vargas","Diamondbacks (AAA)","—",2018,124,537,572,167,119,31,10,7,78,54,30,0,46,2,3,0,14,10,4,0.310986964,0.347902097,0.445065176,0.792967273,0.3498040991021203,0.052447552,0.08041958,"13324"
"Deven Marrero","Marlins (AAA)","—",2019,112,383,431,94,61,16,2,15,55,42,43,1,100,1,1,3,12,10,1,0.245430809,0.322429906,0.415143603,0.737573509,0.3171930289380165,0.099767981,0.232018561,"13325"
"Cameron Perkins","Mariners (AAA)","—",2018,94,362,397,93,56,25,2,10,51,48,25,0,68,6,4,0,10,8,4,0.256906077,0.312342569,0.419889502,0.732232071,0.3224908020394275,0.062972292,0.171284634,"13444"
"Humberto Arteaga","Royals (AAA)","—",2018,118,414,445,121,95,19,1,6,42,49,21,0,73,0,6,4,12,2,3,0.292270531,0.321995464,0.386473429,0.708468893,0.31506578032932586,0.047191011,0.164044943,"13595"
"Patrick Wisdom","Cardinals (AAA)","—",2018,107,371,421,107,67,24,1,15,65,61,43,1,112,3,4,0,4,11,2,0.288409703,0.363420427,0.479784366,0.843204793,0.36945350312051317,0.102137767,0.266033254,"13602"
"Patrick Wisdom","Rangers (AAA)","—",2019,107,396,453,95,49,15,0,31,68,74,53,3,125,2,1,1,8,8,2,0.239898989,0.331858407,0.512626262,0.844484669,0.34777074667287033,0.116997792,0.275938189,"13602"
"Tyrone Taylor","Brewers (AAA)","—",2018,119,446,481,124,72,23,9,20,73,80,27,0,74,3,4,1,11,13,4,0.278026905,0.320833333,0.504484304,0.825317637,0.354338347290953,0.056133056,0.153846153,"13675"
"Christopher Bostick","Orioles (AAA)","—",2019,106,392,442,101,64,22,3,12,59,50,33,0,99,7,4,6,7,4,2,0.257653061,0.323394495,0.420918367,0.744312862,0.3233406491782687,0.074660633,0.2239819,"13718"
"Matt Reynolds","Nationals (AAA)","—",2019,111,376,449,111,62,29,4,16,65,55,64,1,95,4,2,3,9,8,2,0.295212765,0.401345291,0.521276595,0.922621886,0.3920035821668218,0.142538975,0.211581291,"13788"
"Seth Mejias-Brean","Mariners (AAA)","—",2018,96,350,400,93,69,13,3,8,45,44,42,0,67,4,4,0,9,4,2,0.265714285,0.3475,0.388571428,0.736071428,0.33290428832173347,0.105,0.1675,"13905"
"Seth Mejias-Brean","Padres (AAA)","—",2019,117,411,448,130,98,18,3,11,69,66,33,1,79,3,1,0,8,4,2,0.316301703,0.370535714,0.454987834,0.825523548,0.3564736772436957,0.073660714,0.176339285,"13905"
"Patrick Kivlehan","Mets (AAA)","—",2018,98,354,390,111,58,29,4,20,59,67,30,0,84,4,2,0,6,4,3,0.313559322,0.371794871,0.587570621,0.959365492,0.4102002256955856,0.076923076,0.215384615,"13910"
"Rio Ruiz","Braves (AAA)","—",2018,130,498,541,134,96,25,4,9,72,72,40,3,90,0,3,0,15,2,1,0.269076305,0.321626617,0.389558232,0.711184849,0.31727131591853597,0.073937153,0.166358595,"14103"
"Eric Haase","Indians (AAA)","—",2018,120,433,477,102,55,24,3,20,54,71,31,0,143,4,7,2,12,3,1,0.235565819,0.288421052,0.443418013,0.731839065,0.3215733176783512,0.064989517,0.299790356,"14111"
"Eric Haase","Indians (AAA)","—",2019,102,350,401,79,36,12,3,28,67,60,42,0,142,5,3,1,3,1,1,0.225714285,0.315,0.517142857,0.832142857,0.3479077050089836,0.104738154,0.354114713,"14111"
"Ramon Torres","Royals (AAA)","—",2018,97,370,405,85,57,20,2,6,44,27,25,0,59,1,2,7,10,6,3,0.229729729,0.278894472,0.343243243,0.622137715,0.27872010121992485,0.061728395,0.145679012,"14113"
"Daniel Vogelbach","Mariners (AAA)","—",2018,84,297,378,86,50,16,0,20,54,60,77,3,59,1,3,0,6,0,1,0.289562289,0.433862433,0.545454545,0.979316978,0.4258952043851217,0.203703703,0.156084656,"14130"
"Tim Lopes","Blue Jays (AAA)","—",2018,104,354,385,98,74,19,3,2,41,29,26,0,58,1,4,0,7,18,8,0.276836158,0.324675324,0.364406779,0.689082103,0.31060828171767196,0.067532467,0.15064935,"14137"
"Tim Lopes","Mariners (AAA)","—",2019,95,374,420,113,70,31,2,10,59,60,36,0,72,3,7,0,7,26,9,0.302139037,0.361904761,0.475935828,0.837840589,0.3562797527937662,0.085714285,0.171428571,"14137"
"Andrew Velazquez","Rays (AAA)","—",2018,117,423,461,109,75,16,6,12,63,41,34,0,124,3,0,1,2,29,3,0.257683215,0.317391304,0.408983451,0.726374755,0.325728630501291,0.073752711,0.268980477,"14196"
"Jason Coats","Rays (AAA)","—",2018,108,397,426,98,52,27,4,15,50,60,24,1,93,3,2,0,4,3,0,0.246851385,0.29342723,0.44836272,0.74178995,0.3260518006717458,0.056338028,0.218309859,"14282"
"Anthony Alford","Blue Jays (AAA)","—",2018,105,375,417,90,62,22,1,5,52,34,30,0,112,10,2,0,5,17,7,0.24,0.311750599,0.344,0.655750599,0.30009458533865657,0.071942446,0.268585131,"14329"
"Dilson Herrera","Mets (AAA)","—",2019,117,407,460,101,47,29,1,24,66,64,43,2,127,8,2,0,5,12,5,0.248157248,0.330434782,0.501228501,0.831663283,0.3510108685129074,0.09347826,0.276086956,"14335"
"Raimel Tapia","Rockies (AAA)","—",2018,105,434,473,131,78,33,9,11,81,62,32,2,85,2,1,3,12,21,3,0.301843317,0.351812366,0.495391705,0.847204071,0.36771309733135543,0.067653276,0.179704016,"14350"
"Harold Ramirez","Blue Jays (AA)","—",2018,120,463,505,148,100,37,0,11,60,70,27,2,88,9,5,1,6,16,2,0.319654427,0.365079365,0.470842332,0.835921697,0.3727359502201536,0.053465346,0.174257425,"14387"
"Scott Heineman","Rangers (AAA)","—",2018,107,424,469,125,92,20,2,11,68,57,32,0,93,9,3,1,13,16,8,0.29481132,0.354700854,0.429245283,0.783946137,0.3499048710124105,0.068230277,0.198294243,"14453"
"Gabriel Guerrero","Reds (AAA)","—",2018,104,404,432,118,82,15,4,17,64,65,23,1,97,0,5,0,16,1,3,0.292079207,0.326388888,0.475247524,0.801636412,0.351587564652038,0.05324074,0.224537037,"14528"
"Jesmuel Valentin","Orioles (AA)","—",2019,115,403,456,103,68,24,3,8,47,46,45,1,95,4,3,1,6,10,7,0.255583126,0.334065934,0.389578163,0.723644097,0.32997849754299885,0.09868421,0.208333333,"14548"
"Dawel Lugo","Tigers (AAA)","—",2018,123,509,523,137,105,26,3,3,56,59,9,0,66,2,3,0,10,12,4,0.269155206,0.282982791,0.349705304,0.632688095,0.2820474663838374,0.017208413,0.126195028,"14713"
