Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Christian Bethancourt","Brewers (AAA)","—",2018,104,391,418,116,74,22,0,20,59,71,20,0,76,1,6,0,12,6,1,0.296675191,0.327751196,0.506393861,0.834145057,0.358490408750242,0.047846889,0.181818181,"10028"
"Tomas Telis","- - -","—",2018,158,588,633,188,143,28,5,12,80,93,36,7,63,4,4,1,11,3,2,0.319727891,0.360759493,0.445578231,0.806337724,0.34985538721084597,0.056872037,0.099526066,"10067"
"Francisco Arcia","- - -","—",2018,107,350,388,83,66,11,2,4,35,46,20,1,64,8,3,7,16,2,3,0.237142857,0.291338582,0.314285714,0.605624296,0.27328369915485384,0.051546391,0.164948453,"10286"
"Danny Ortiz","Phillies (AAA)","—",2018,118,392,418,91,56,20,0,15,43,61,19,1,101,3,4,0,11,0,1,0.232142857,0.270334928,0.397959183,0.668294111,0.2951779960156631,0.045454545,0.241626794,"10317"
"Danny Santana","- - -","—",2018,91,357,382,97,52,25,4,16,61,46,19,0,90,1,3,2,7,13,6,0.271708683,0.307894736,0.498599439,0.806494175,0.35104136670890607,0.049738219,0.235602094,"10322"
"Rafael Ortega","- - -","—",2018,203,711,821,200,120,44,13,23,134,86,103,3,126,3,1,3,9,26,8,0.281293952,0.374083129,0.476793248,0.850876377,0.370167651278841,0.12545676,0.153471376,"10323"
"Wilfredo Tovar","- - -","—",2018,193,687,738,212,164,32,7,9,94,104,43,0,87,2,6,0,25,14,11,0.308588064,0.348238482,0.414847161,0.763085643,0.3356368203311755,0.058265582,0.117886178,"10416"
"Rocky Gale","- - -","—",2018,132,457,491,128,99,20,3,6,42,54,21,0,83,1,5,7,9,2,2,0.280087527,0.309917355,0.376367614,0.686284969,0.30283813326319386,0.042769857,0.169042769,"10533"
"Bryce Brentz","- - -","—",2018,150,503,571,118,52,33,0,33,86,97,58,0,189,7,3,0,12,1,2,0.234592445,0.320490367,0.497017892,0.817508259,0.348900313657136,0.101576182,0.330998248,"10607"
"David Freitas","- - -","—",2018,130,474,551,176,124,35,1,16,70,104,64,3,82,7,3,0,23,0,1,0.371308016,0.450729927,0.550632911,1.001362838,0.4316342826283306,0.11615245,0.148820326,"10619"
"Rob Brantly","- - -","—",2018,154,465,518,122,88,24,2,8,52,49,40,4,78,10,3,0,18,0,0,0.262365591,0.332046332,0.374193548,0.70623988,0.3138148873928456,0.077220077,0.15057915,"10655"
"Ryan LaMarre","- - -","—",2018,136,497,558,150,100,30,11,9,67,60,47,1,147,10,3,1,9,22,9,0.301810865,0.371633752,0.460764587,0.832398339,0.36306099186269497,0.08422939,0.26344086,"10700"
"Lane Adams","- - -","—",2018,134,446,505,98,58,24,4,12,58,41,48,0,172,8,3,0,3,20,6,0.219730941,0.304950495,0.372197309,0.677147804,0.30069489148583745,0.095049504,0.340594059,"10767"
"Tyler Saladino","- - -","—",2018,115,395,464,110,62,23,5,20,74,83,62,0,95,4,3,0,14,18,1,0.278481012,0.379310344,0.51392405,0.893234394,0.38026354937204,0.133620689,0.204741379,"10807"
"Rangel Ravelo","- - -","—",2018,195,681,780,207,140,39,3,25,107,123,79,1,110,16,3,0,18,0,2,0.303964757,0.387676508,0.480176211,0.867852719,0.37959862467868777,0.101282051,0.141025641,"10839"
"Adam Duvall","Braves (AAA)","—",2019,101,369,429,98,42,20,4,32,74,93,48,4,86,10,2,0,9,1,0,0.265582655,0.363636363,0.601626016,0.965262379,0.39707316707162293,0.111888111,0.2004662,"10950"
"Phil Gosselin","- - -","—",2018,162,588,678,167,108,39,7,13,93,87,74,0,124,4,9,3,9,3,4,0.284013605,0.362962962,0.44047619,0.803439152,0.35400651543228717,0.109144542,0.182890855,"10953"
"Christian Colon","- - -","—",2018,234,816,950,241,163,59,3,16,110,111,97,1,96,14,13,10,29,36,18,0.295343137,0.374468085,0.433823529,0.808291614,0.3573051166102782,0.102105263,0.101052631,"11145"
"Cameron Rupp","- - -","—",2018,144,473,549,106,59,21,1,25,54,67,64,0,168,7,5,0,15,0,0,0.224101479,0.322404371,0.43128964,0.753694011,0.3293775723931568,0.116575591,0.306010928,"11146"
"Brett Nicholas","Padres (AAA)","—",2018,117,412,456,120,73,30,1,16,65,83,37,0,86,4,3,0,13,1,1,0.291262135,0.353070175,0.485436893,0.838507068,0.3668578176906234,0.08114035,0.188596491,"11192"
"Ronald Torreyes","- - -","—",2018,105,405,436,103,77,14,1,11,57,50,19,0,44,5,6,1,8,2,1,0.254320987,0.291954022,0.375308641,0.667262663,0.2905862199849096,0.043577981,0.100917431,"11400"
"Dixon Machado","- - -","—",2018,145,476,564,119,76,24,1,18,72,73,72,2,107,7,1,8,9,4,4,0.25,0.356115107,0.418067226,0.774182333,0.3392159351372977,0.127659574,0.189716312,"11472"
"Kaleb Cowart","- - -","—",2018,138,545,596,157,101,35,7,14,78,105,43,1,107,2,5,1,8,11,5,0.288073394,0.339495798,0.455045871,0.794541669,0.342444974866379,0.072147651,0.179530201,"11494"
"Andrew Romine","Phillies (AAA)","—",2019,106,380,417,110,84,15,3,8,57,53,27,0,67,5,3,2,8,21,4,0.289473684,0.342168674,0.407894736,0.75006341,0.3296093613268381,0.064748201,0.160671462,"1159"
"Jarrett Parker","Angels (AAA)","—",2019,96,346,424,92,48,19,1,24,71,75,72,4,125,3,3,0,8,2,1,0.265895953,0.393867924,0.53468208,0.928550004,0.38764221994649795,0.16981132,0.29481132,"11624"
"Drew Robinson","- - -","—",2018,108,400,475,114,67,24,7,16,68,56,63,3,155,3,5,4,2,15,9,0.285,0.382165605,0.5,0.882165605,0.37978452737005347,0.132631578,0.326315789,"11761"
"Mason Williams","- - -","—",2018,208,760,850,225,161,33,7,24,114,97,75,1,143,1,4,10,14,9,15,0.296052631,0.358333333,0.452631578,0.810964911,0.35546244981035996,0.088235294,0.168235294,"11859"
"Ronny Rodriguez","- - -","—",2018,107,432,456,143,87,29,7,20,75,71,16,0,88,3,4,1,5,15,8,0.331018518,0.356043956,0.569444444,0.9254884,0.39598160693933676,0.035087719,0.192982456,"11875"
"Noel Cuevas","- - -","—",2018,104,365,410,110,71,22,7,10,52,62,40,0,69,2,2,1,9,6,8,0.301369863,0.371638141,0.48219178,0.853829921,0.370287925223558,0.097560975,0.168292682,"11894"
"Hanser Alberto","Rangers (AAA)","—",2018,101,361,384,119,92,17,3,7,45,58,9,1,28,3,6,5,11,0,3,0.329639889,0.345646437,0.451523545,0.797169982,0.34830656584608494,0.0234375,0.072916666,"11902"
"Orlando Calixte","- - -","—",2018,150,497,541,135,102,17,3,13,65,58,39,0,120,1,4,0,12,17,3,0.271629778,0.323475046,0.396378269,0.719853315,0.31956555321124036,0.072088724,0.22181146,"11905"
"Travis Taijeron","- - -","—",2018,210,651,771,161,82,39,5,35,105,114,97,0,275,19,4,0,16,7,6,0.247311827,0.35927367,0.483870967,0.843144637,0.3662187194236676,0.125810635,0.356679636,"11935"
"Nick Martini","- - -","—",2018,146,550,659,172,126,30,2,14,101,82,100,1,119,4,5,0,14,5,1,0.312727272,0.418816388,0.45090909,0.869725478,0.3876148388016188,0.151745068,0.180576631,"12005"
"Kennys Vargas","Twins (AAA)","—",2018,130,463,533,111,67,23,0,21,41,73,58,3,133,5,7,0,21,0,0,0.23974082,0.326454033,0.425485961,0.751939994,0.334251133450922,0.108818011,0.249530956,"12101"
"Matt Skole","- - -","—",2018,213,745,892,180,101,43,1,35,115,100,131,5,224,7,8,0,11,3,1,0.241610738,0.356902356,0.44295302,0.799855376,0.3521506246810035,0.146860986,0.251121076,"12119"
"Juniel Querecuto","- - -","—",2018,170,637,682,190,145,27,8,10,81,73,34,0,105,3,6,2,24,15,7,0.298273155,0.333823529,0.412872841,0.74669637,0.32495379474233177,0.049853372,0.153958944,"12140"
"Jorge Bonifacio","- - -","—",2018,130,502,558,120,71,23,6,20,78,71,45,1,133,4,7,0,6,6,4,0.239043824,0.302867383,0.428286852,0.731154235,0.30897261820318883,0.080645161,0.238351254,"12174"
"Ryan Court","- - -","—",2018,168,576,678,150,94,31,3,22,90,110,88,1,212,8,6,0,8,7,2,0.260416666,0.362831858,0.439236111,0.802067969,0.35333692358374774,0.12979351,0.312684365,"12268"
"Cory Spangenberg","- - -","—",2018,134,512,571,161,100,36,7,18,96,78,49,0,166,6,3,1,4,31,4,0.314453125,0.378947368,0.517578125,0.896525493,0.38190470275126004,0.08581436,0.290718038,"12294"
"Jace Peterson","- - -","—",2018,91,330,381,103,63,25,5,10,58,46,46,0,57,2,3,0,6,13,3,0.312121212,0.396325459,0.509090909,0.905416368,0.39019076060748165,0.120734908,0.149606299,"12325"
"Beau Taylor","- - -","—",2018,162,525,635,130,85,30,4,11,82,75,102,3,167,5,3,0,12,2,0,0.247619047,0.373228346,0.382857142,0.756085488,0.3423476638861849,0.160629921,0.262992125,"12384"
"Jett Bandy","- - -","—",2018,130,434,485,112,66,24,0,22,57,68,26,1,102,19,3,1,7,3,2,0.258064516,0.325726141,0.465437788,0.791163929,0.33931693651572087,0.053608247,0.210309278,"12508"
"Billy Burns","- - -","—",2018,195,643,729,165,131,24,4,6,93,61,57,1,95,7,7,15,2,24,11,0.256609642,0.320728291,0.334370139,0.65509843,0.29719499794330034,0.0781893,0.1303155,"12701"
"Breyvic Valera","- - -","—",2018,201,720,823,204,140,35,6,23,104,95,87,3,78,5,3,8,13,17,15,0.283333333,0.363190184,0.444444444,0.807634628,0.35511550534828545,0.105710814,0.094775212,"12758"
"Andy Burns","Blue Jays (AAA)","—",2019,118,411,474,113,74,17,3,19,60,63,57,0,83,2,3,0,14,6,6,0.274939172,0.363636363,0.469586374,0.833222737,0.3609145209350747,0.120253164,0.175105485,"12779"
"Taylor Davis","- - -","—",2018,168,560,650,146,115,22,0,9,59,64,71,2,95,2,4,12,26,0,2,0.260714285,0.343799058,0.348214285,0.692013343,0.3151985264199925,0.109230769,0.146153846,"12782"
"Jose Osuna","- - -","—",2018,101,373,425,116,71,33,1,11,58,72,40,0,73,3,8,1,12,7,3,0.310991957,0.375,0.493297587,0.868297587,0.3802873147827274,0.094117647,0.171764705,"12937"
