Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Danny Ortiz","Phillies (AAA)","—",2018,118,392,418,91,56,20,0,15,43,61,19,1,101,3,4,0,11,0,1,0.232142857,0.270334928,0.397959183,0.668294111,0.2951779960156631,0.045454545,0.241626794,"10317"
"Rafael Ortega","Braves (AAA)","—",2019,111,431,493,123,65,34,3,21,83,58,59,1,95,2,1,0,1,14,7,0.28538283,0.373225152,0.524361948,0.8975871,0.38239412615454293,0.119675456,0.192697768,"10323"
"Rob Brantly","- - -","—",2018,154,465,518,122,88,24,2,8,52,49,40,4,78,10,3,0,18,0,0,0.262365591,0.332046332,0.374193548,0.70623988,0.3138148873928456,0.077220077,0.15057915,"10655"
"Ryan LaMarre","- - -","—",2018,136,497,558,150,100,30,11,9,67,60,47,1,147,10,3,1,9,22,9,0.301810865,0.371633752,0.460764587,0.832398339,0.36306099186269497,0.08422939,0.26344086,"10700"
"Lane Adams","- - -","—",2018,102,365,407,87,50,22,3,12,50,35,35,0,140,6,1,0,3,11,3,0.238356164,0.314496314,0.41369863,0.728194944,0.3182665250225208,0.085995085,0.343980343,"10767"
"Adam Duvall","Braves (AAA)","—",2019,101,369,429,98,42,20,4,32,74,93,48,4,86,10,2,0,9,1,0,0.265582655,0.363636363,0.601626016,0.965262379,0.39707316707162293,0.111888111,0.2004662,"10950"
"Phil Gosselin","- - -","—",2018,162,588,678,167,108,39,7,13,93,87,74,0,124,4,9,3,9,3,4,0.284013605,0.362962962,0.44047619,0.803439152,0.35400651543228717,0.109144542,0.182890855,"10953"
"Christian Colon","- - -","—",2018,152,546,637,159,110,37,2,10,66,73,61,0,66,8,12,10,22,25,13,0.291208791,0.363636363,0.421245421,0.784881784,0.3448598379153384,0.095761381,0.103610675,"11145"
"Ronald Torreyes","- - -","—",2018,105,405,436,103,77,14,1,11,57,50,19,0,44,5,6,1,8,2,1,0.254320987,0.291954022,0.375308641,0.667262663,0.2905862199849096,0.043577981,0.100917431,"11400"
"Andrew Romine","Phillies (AAA)","—",2019,106,380,417,110,84,15,3,8,57,53,27,0,67,5,3,2,8,21,4,0.289473684,0.342168674,0.407894736,0.75006341,0.3296093613268381,0.064748201,0.160671462,"1159"
"Mason Williams","- - -","—",2018,208,760,850,225,161,33,7,24,114,97,75,1,143,1,4,10,14,9,15,0.296052631,0.358333333,0.452631578,0.810964911,0.35546244981035996,0.088235294,0.168235294,"11859"
"Ronny Rodriguez","- - -","—",2018,107,432,456,143,87,29,7,20,75,71,16,0,88,3,4,1,5,15,8,0.331018518,0.356043956,0.569444444,0.9254884,0.39598160693933676,0.035087719,0.192982456,"11875"
"Travis Taijeron","Mets (AAA)","—",2019,123,371,453,85,37,21,3,24,65,70,64,0,165,16,2,0,12,6,3,0.229110512,0.36423841,0.495956873,0.860195283,0.37000590773344566,0.141280353,0.36423841,"11935"
"Kennys Vargas","Twins (AAA)","—",2018,130,463,533,111,67,23,0,21,41,73,58,3,133,5,7,0,21,0,0,0.23974082,0.326454033,0.425485961,0.751939994,0.334251133450922,0.108818011,0.249530956,"12101"
"Matt Skole","- - -","—",2018,213,745,892,180,101,43,1,35,115,100,131,5,224,7,8,0,11,3,1,0.241610738,0.356902356,0.44295302,0.799855376,0.3521506246810035,0.146860986,0.251121076,"12119"
"Jace Peterson","- - -","—",2018,91,330,381,103,63,25,5,10,58,46,46,0,57,2,3,0,6,13,3,0.312121212,0.396325459,0.509090909,0.905416368,0.39019076060748165,0.120734908,0.149606299,"12325"
"Breyvic Valera","- - -","—",2018,121,445,508,128,84,24,4,16,58,63,50,2,48,4,2,7,9,11,8,0.287640449,0.363273453,0.46741573,0.830689183,0.3610605289319713,0.098425196,0.094488188,"12758"
"Andy Burns","Blue Jays (AAA)","—",2019,118,411,474,113,74,17,3,19,60,63,57,0,83,2,3,0,14,6,6,0.274939172,0.363636363,0.469586374,0.833222737,0.3609145209350747,0.120253164,0.175105485,"12779"
"Jose Osuna","- - -","—",2018,101,373,425,116,71,33,1,11,58,72,40,0,73,3,8,1,12,7,3,0.310991957,0.375,0.493297587,0.868297587,0.3802873147827274,0.094117647,0.171764705,"12937"
"Socrates Brito","Blue Jays (AAA)","—",2019,97,394,428,111,60,28,7,16,66,67,29,1,97,0,4,1,4,11,7,0.281725888,0.327868852,0.510152284,0.838021136,0.35144483791270725,0.067757009,0.226635514,"12944"
"Charles Tilson","- - -","—",2018,128,506,550,134,104,25,2,3,63,59,35,0,95,3,2,4,5,14,5,0.264822134,0.315018315,0.339920948,0.654939263,0.2949918425563491,0.063636363,0.172727272,"12983"
