Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Harold Ramirez","Blue Jays (AA)",23,2018,120,463,505,148,100,37,0,11,60,70,27,2,88,9,5,1,6,16,2,0.319654427,0.365079365,0.470842332,0.835921697,0.3727359502201536,0.053465346,0.174257425,"14387"
"Dom Nunez","Rockies (AA)",23,2018,92,324,377,72,51,12,0,9,34,42,46,3,73,2,3,2,8,8,6,0.222222222,0.32,0.342592592,0.662592592,0.30491876185581246,0.122015915,0.193633952,"15055"
"Aristides Aquino","Reds (AA)",24,2018,114,404,445,97,55,20,2,20,49,55,35,2,112,4,1,1,17,4,5,0.240099009,0.306306306,0.448019801,0.754326107,0.3375114795848795,0.078651685,0.251685393,"15482"
"Erick Mejia","Royals (AA)",23,2018,136,540,602,142,103,27,7,5,79,59,43,1,98,2,3,14,13,34,17,0.262962962,0.31802721,0.366666666,0.684693876,0.31002129007644913,0.071428571,0.162790697,"15817"
"Travis Demeritte","Braves (AA)",23,2018,128,428,494,95,51,22,5,17,69,63,57,1,140,4,4,1,3,6,2,0.221962616,0.31643002,0.41588785,0.73231787,0.33161138579612826,0.115384615,0.283400809,"15958"
"Shed Long","Reds (AA)",22,2018,126,452,522,118,79,22,5,12,75,56,57,1,123,8,1,4,8,19,6,0.261061946,0.353281853,0.411504424,0.764786277,0.3503728223031448,0.109195402,0.235632183,"16542"
"Lane Thomas","Cardinals (AA)",22,2018,100,384,435,100,59,16,4,21,63,67,43,0,101,3,3,2,2,13,9,0.260416666,0.337182448,0.486979166,0.824161614,0.36348486111841355,0.098850574,0.232183908,"16939"
"Bobby Bradley","Indians (AA)",22,2018,97,369,421,79,33,19,3,24,49,64,45,4,105,4,3,0,4,1,0,0.21409214,0.304038004,0.476964769,0.781002773,0.3416567471959322,0.106888361,0.249406175,"17278"
"Cole Tucker","Pirates (AA)",21,2018,133,517,589,134,101,21,7,5,77,44,55,2,104,6,8,3,7,35,12,0.25918762,0.332764505,0.355899419,0.688663924,0.3151433131057922,0.093378607,0.176570458,"17326"
"Willi Castro","- - -",21,2018,123,476,524,125,83,29,4,9,67,52,34,1,109,4,1,9,5,17,5,0.262605042,0.316504854,0.397058823,0.713563677,0.32209857080697085,0.064885496,0.208015267,"17338"
"Kelvin Gutierrez","- - -",23,2018,123,472,513,130,99,14,6,11,65,66,36,0,108,3,2,0,7,20,4,0.275423728,0.329434697,0.400423728,0.729858425,0.32986916912461817,0.070175438,0.210526315,"17468"
"Richie Martin","Athletics (AA)",23,2018,118,453,509,136,93,29,8,6,68,42,44,3,86,6,3,3,11,25,10,0.30022075,0.367588932,0.439293598,0.80688253,0.3606325088154014,0.086444007,0.168958742,"17736"
"Braden Bishop","Mariners (AA)",24,2018,84,345,394,98,70,20,0,8,70,33,37,0,68,6,3,3,10,5,2,0.284057971,0.36061381,0.411594202,0.772208012,0.3508153446495076,0.093908629,0.172588832,"17806"
"Drew Jackson","Dodgers (AA)",24,2018,103,342,410,86,50,20,1,15,57,46,45,1,93,13,4,6,4,22,7,0.251461988,0.356435643,0.447368421,0.803804064,0.3605395675297115,0.109756097,0.226829268,"17807"
"Brendan Rodgers","Rockies (AA)",21,2018,95,357,402,98,56,23,2,17,49,62,30,1,76,9,5,1,9,12,3,0.274509803,0.341645885,0.492997198,0.834643083,0.36872487142682076,0.074626865,0.189054726,"17907"
"Sam Hilliard","Rockies (AA)",24,2018,121,435,484,114,80,22,3,9,58,40,41,2,151,2,2,4,4,23,14,0.262068965,0.327083333,0.388505747,0.71558908,0.3241171904188819,0.084710743,0.311983471,"17954"
"Ty France","Padres (AA)",23,2018,112,415,479,109,68,22,2,17,66,77,33,2,70,25,5,1,18,3,4,0.262650602,0.349372384,0.448192771,0.797565155,0.35647361556521984,0.068893528,0.146137787,"17982"
"Austin Allen","Padres (AA)",24,2018,119,451,498,131,78,31,0,22,59,56,37,5,97,7,3,0,13,0,3,0.290465631,0.351405622,0.505543237,0.856948859,0.3745458557687957,0.074297188,0.194779116,"18083"
"Seth Brown","Athletics (AA)",25,2018,131,502,555,142,87,38,3,14,66,90,47,1,142,1,5,0,10,5,0,0.282868525,0.342342342,0.454183266,0.796525608,0.35334624667460307,0.084684684,0.255855855,"18171"
"Trent Grisham","Brewers (AA)",21,2018,107,335,405,78,59,10,2,7,45,31,63,0,87,2,2,3,6,11,3,0.23283582,0.355721393,0.337313432,0.693034825,0.3283947563883084,0.155555555,0.214814814,"18564"
"Josh Naylor","Padres (AA)",21,2018,128,501,574,149,109,22,1,17,72,74,64,8,69,7,2,0,10,5,5,0.297405189,0.383275261,0.447105788,0.830381049,0.37090413098621705,0.111498257,0.120209059,"18839"
"Danny Mendick","White Sox (AA)",24,2018,132,453,529,112,73,25,0,14,62,59,57,0,90,10,7,2,6,20,10,0.247240618,0.339658444,0.395143487,0.734801931,0.33731205368403916,0.107750472,0.170132325,"18889"
"Zack Collins","White Sox (AA)",23,2018,122,418,531,98,58,24,1,15,58,68,101,2,158,3,7,2,6,5,0,0.23444976,0.381852551,0.40430622,0.786158771,0.3630509435338811,0.190207156,0.297551789,"19181"
"Cavan Biggio","Blue Jays (AA)",23,2018,132,449,563,113,59,23,5,26,80,99,100,4,148,5,8,1,2,20,8,0.251670378,0.387900355,0.498886414,0.886786769,0.3927244160551324,0.177619893,0.262877442,"19252"
"Nick Solak","Rays (AA)",23,2018,126,478,565,135,96,17,3,19,91,76,68,0,112,14,5,0,6,21,6,0.282426778,0.384070796,0.449790794,0.83386159,0.38038670425921417,0.120353982,0.198230088,"19294"
"Bryan Reynolds","Pirates (AA)",23,2018,88,331,383,100,72,18,3,7,56,46,43,3,73,3,6,0,8,4,4,0.302114803,0.381201044,0.438066465,0.819267509,0.36765084533314957,0.11227154,0.190600522,"19326"
"Jake Rogers","Tigers (AA)",23,2018,99,352,408,77,44,15,1,17,57,56,41,0,112,6,7,2,8,7,1,0.21875,0.305418719,0.411931818,0.717350537,0.32239934728650627,0.100490196,0.274509803,"19452"
"Tommy Edman","Cardinals (AA)",23,2018,109,452,498,135,103,23,3,6,71,36,35,0,76,3,4,4,4,27,5,0.298672566,0.350202429,0.402654867,0.752857296,0.3403829596785881,0.070281124,0.152610441,"19470"
"Bo Bichette","Blue Jays (AA)",20,2018,131,539,595,154,93,43,7,11,95,74,48,1,101,2,5,1,13,32,11,0.285714285,0.343434343,0.452690166,0.796124509,0.35494587775225583,0.080672268,0.169747899,"19612"
"Michael Brosseau","Rays (AA)",24,2018,104,370,417,97,57,24,3,13,53,61,29,2,74,10,7,1,4,11,4,0.262162162,0.326923076,0.448648648,0.775571724,0.3457490479312657,0.069544364,0.177458033,"19683"
"Fernando Tatis Jr.","Padres (AA)",19,2018,88,353,394,101,59,22,4,16,77,43,33,1,109,6,2,0,8,16,5,0.28611898,0.355329949,0.507082152,0.862412101,0.37939631256438394,0.083756345,0.276649746,"19709"
