Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Aristides Aquino","Reds (AA)",24,2018,114,404,445,97,55,20,2,20,49,55,35,2,112,4,1,1,17,4,5,0.240099009,0.306306306,0.448019801,0.754326107,0.3375114795848795,0.078651685,0.251685393,"15482"
"Travis Demeritte","Braves (AA)",23,2018,128,428,494,95,51,22,5,17,69,63,57,1,140,4,4,1,3,6,2,0.221962616,0.31643002,0.41588785,0.73231787,0.33161138579612826,0.115384615,0.283400809,"15958"
"Shed Long","Reds (AA)",22,2018,126,452,522,118,79,22,5,12,75,56,57,1,123,8,1,4,8,19,6,0.261061946,0.353281853,0.411504424,0.764786277,0.3503728223031448,0.109195402,0.235632183,"16542"
"Trent Grisham","Brewers (AA)",21,2018,107,335,405,78,59,10,2,7,45,31,63,0,87,2,2,3,6,11,3,0.23283582,0.355721393,0.337313432,0.693034825,0.3283947563883084,0.155555555,0.214814814,"18564"
"Danny Mendick","White Sox (AA)",24,2018,132,453,529,112,73,25,0,14,62,59,57,0,90,10,7,2,6,20,10,0.247240618,0.339658444,0.395143487,0.734801931,0.33731205368403916,0.107750472,0.170132325,"18889"
"Zack Collins","White Sox (AA)",23,2018,122,418,531,98,58,24,1,15,58,68,101,2,158,3,7,2,6,5,0,0.23444976,0.381852551,0.40430622,0.786158771,0.3630509435338811,0.190207156,0.297551789,"19181"
"Nick Solak","Rays (AA)",23,2018,126,478,565,135,96,17,3,19,91,76,68,0,112,14,5,0,6,21,6,0.282426778,0.384070796,0.449790794,0.83386159,0.38038670425921417,0.120353982,0.198230088,"19294"
"Michael Brosseau","Rays (AA)",24,2018,104,370,417,97,57,24,3,13,53,61,29,2,74,10,7,1,4,11,4,0.262162162,0.326923076,0.448648648,0.775571724,0.3457490479312657,0.069544364,0.177458033,"19683"
"Brent Rooker","Twins (AA)",23,2018,130,503,568,128,70,32,4,22,72,79,56,3,150,5,4,0,15,6,1,0.254473161,0.332746478,0.465208747,0.797955225,0.3561978614435787,0.098591549,0.264084507,"sa3003172"
"Eric Jagielo","Marlins (AA)",26,2018,121,399,442,79,48,20,0,11,37,64,33,0,138,5,5,0,6,1,0,0.197994987,0.264705882,0.330827067,0.595532949,0.27371422278935015,0.074660633,0.312217194,"sa550383"
"Kevin Medrano","Diamondbacks (AA)",28,2018,96,369,405,122,83,30,5,4,54,48,28,3,71,1,2,5,3,9,1,0.330623306,0.3775,0.471544715,0.849044715,0.37969799351031597,0.069135802,0.175308641,"sa577957"
"Tyler Marlette","Braves (AA)",25,2018,126,423,474,103,72,18,1,12,58,52,49,2,105,2,0,0,13,5,2,0.243498817,0.324894514,0.375886524,0.700781038,0.3219170624674377,0.103375527,0.221518987,"sa597836"
"Daniel Lockhart","Braves (AA)",25,2018,119,356,408,82,57,15,4,6,53,31,45,3,100,1,3,3,2,9,1,0.230337078,0.316049382,0.345505617,0.661554999,0.303735724729092,0.110294117,0.245098039,"sa598065"
