"","Name","Team","Age","Season","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","PlayerId","Team","Age","Season","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","PlayerId"
"1","Erick Mejia","Royals (AA)",23,2018,136,540,602,142,103,27,7,5,79,59,43,1,98,2,3,14,13,34,17,0.262962962,0.31802721,0.366666666,0.684693876,0.310021290076449,0.071428571,0.162790697,"15817","Royals (AAA)",24,2019,128,495,556,134,99,22,6,7,83,63,50,0,103,3,3,5,4,19,6,0.27070707,0.33938294,0.381818181,0.721201121,0.318413572713814,0.089928057,0.185251798,"15817"
"2","Travis Demeritte","Braves (AA)",23,2018,128,428,494,95,51,22,5,17,69,63,57,1,140,4,4,1,3,6,2,0.221962616,0.31643002,0.41588785,0.73231787,0.331611385796128,0.115384615,0.283400809,"15958","Braves (AAA)",24,2019,96,339,399,97,47,28,2,20,68,73,51,0,106,6,2,1,5,4,3,0.286135693,0.386934673,0.557522123,0.944456796,0.399840649498168,0.127819548,0.26566416,"15958"
"3","Bobby Bradley","Indians (AA)",22,2018,97,369,421,79,33,19,3,24,49,64,45,4,105,4,3,0,4,1,0,0.21409214,0.304038004,0.476964769,0.781002773,0.341656747195932,0.106888361,0.249406175,"17278","Indians (AAA)",23,2019,107,402,453,106,50,23,0,33,65,74,46,2,153,4,1,0,8,0,0,0.263681592,0.34437086,0.567164179,0.911535039,0.378912009579644,0.101545253,0.337748344,"17278"
"4","Willi Castro","- - -",21,2018,123,476,524,125,83,29,4,9,67,52,34,1,109,4,1,9,5,17,5,0.262605042,0.316504854,0.397058823,0.713563677,0.322098570806971,0.064885496,0.208015267,"17338","Tigers (AAA)",22,2019,119,465,525,140,93,28,8,11,75,62,37,0,110,14,6,3,4,17,4,0.301075268,0.365900383,0.466666666,0.832567049,0.36057579483109,0.07047619,0.209523809,"17338"
"5","Sam Hilliard","Rockies (AA)",24,2018,121,435,484,114,80,22,3,9,58,40,41,2,151,2,2,4,4,23,14,0.262068965,0.327083333,0.388505747,0.71558908,0.324117190418882,0.084710743,0.311983471,"17954","Rockies (AAA)",25,2019,126,500,559,131,60,29,7,35,109,101,54,1,164,2,3,0,7,22,5,0.262,0.334525939,0.558,0.892525939,0.363298901627141,0.096601073,0.293381037,"17954"
"6","Seth Brown","Athletics (AA)",25,2018,131,502,555,142,87,38,3,14,66,90,47,1,142,1,5,0,10,5,0,0.282868525,0.342342342,0.454183266,0.796525608,0.353346246674603,0.084684684,0.255855855,"18171","Athletics (AAA)",26,2019,112,451,500,134,62,29,6,37,101,104,38,1,127,4,7,0,3,8,1,0.297117516,0.352,0.634146341,0.986146341,0.393693271643652,0.076,0.254,"18171"
"7","Danny Mendick","White Sox (AA)",24,2018,132,453,529,112,73,25,0,14,62,59,57,0,90,10,7,2,6,20,10,0.247240618,0.339658444,0.395143487,0.734801931,0.337312053684039,0.107750472,0.170132325,"18889","White Sox (AAA)",25,2019,133,477,558,133,89,26,1,17,75,64,66,0,96,5,7,3,20,19,8,0.278825995,0.367567567,0.444444444,0.812012011,0.355090504186647,0.118279569,0.17204301,"18889"
"8","Nick Solak","Rays (AA)",23,2018,126,478,565,135,96,17,3,19,91,76,68,0,112,14,5,0,6,21,6,0.282426778,0.384070796,0.449790794,0.83386159,0.380386704259214,0.120353982,0.198230088,"19294","- - -",24,2019,115,419,477,121,74,19,1,27,79,74,45,0,105,6,5,1,8,5,2,0.288782816,0.362105263,0.53221957,0.894324833,0.376060102487865,0.094339622,0.220125786,"19294"
"9","Corban Joseph","Orioles (AA)",29,2018,122,459,523,143,94,30,2,17,73,68,52,1,43,3,6,3,10,8,2,0.31154684,0.38076923,0.496732026,0.877501256,0.39036509446326,0.099426386,0.082217973,"5503","Athletics (AAA)",30,2019,97,383,425,142,90,35,4,13,63,73,33,1,46,4,5,0,7,0,0,0.37075718,0.42117647,0.584856396,1.006032866,0.42116110561029,0.077647058,0.108235294,"5503"
"10","Jecksson Flores","Royals (AA)",24,2018,122,459,508,144,103,31,3,7,74,52,30,1,72,7,2,10,7,27,7,0.31372549,0.363453815,0.440087145,0.80354096,0.36050427751522,0.059055118,0.141732283,"sa597007","Royals (AAA)",25,2019,116,410,479,102,79,14,1,8,48,52,42,0,75,6,7,13,6,17,5,0.248780487,0.322580645,0.346341463,0.668922108,0.298329933740759,0.087682672,0.1565762,"sa597007"
"11","Malquin Canelo","Phillies (AA)",23,2018,128,470,517,118,88,15,6,9,63,32,37,2,110,2,5,3,16,24,5,0.251063829,0.30544747,0.365957446,0.671404916,0.303162647644058,0.071566731,0.212765957,"sa657479","Phillies (AAA)",24,2019,128,423,473,111,80,27,2,2,57,35,32,3,137,5,3,10,5,8,10,0.262411347,0.319654427,0.349881796,0.669536223,0.296586133863615,0.067653276,0.289640591,"sa657479"
