,Stat,r
88,wRC.,1
87,wOBA,0.980701468
19,woba,0.980586882
16,on_base_plus_slg,0.973584374
90,Off,0.972788442
14,slg_percent,0.918403964
86,SLG,0.918389678
15,on_base_percent,0.882467054
85,OBP,0.878298321
20,xwoba,0.855677051
92,WAR,0.824109257
82,ISO,0.799680455
18,xslg,0.797140891
23,wobacon,0.788744243
21,xobp,0.784580759
8,b_home_run,0.724531881
78,HR,0.724531881
22,xiso,0.695802769
79,R,0.648058411
25,bacon,0.644300365
32,barrels,0.637862306
24,xwobacon,0.635527419
80,RBI,0.618953954
84,AVG,0.61071498
13,batting_avg,0.610408902
17,xba,0.601031711
26,xbacon,0.583956454
33,barrel_batted_rate,0.577504859
10,b_walk,0.522394964
30,exit_velocity_avg,0.509649263
39,hard_hit_percent,0.508039306
12,b_bb_percent,0.495088372
4,b_total_hits,0.414965318
48,out_zone,0.396007694
34,solidcontact_percent,0.382686621
70,flyballs_percent,0.379230914
71,flyballs,0.356415651
6,b_double,0.352635288
53,pitch_count,0.332729598
31,launch_angle_avg,0.311240494
83,BABIP,0.307261367
28,xslgdiff,0.306405095
60,edge,0.295912564
47,out_zone_percent,0.294778024
29,wobadif,0.271165537
63,pull_percent,0.271059996
3,b_total_pa,0.261739032
77,PA,0.261505619
51,pitch_count_offspeed,0.250088158
72,linedrives_percent,0.240474715
27,xbadiff,0.224630546
58,in_zone,0.217971886
52,pitch_count_breaking,0.196906468
73,linedrives,0.173920083
56,in_zone_swing,0.167279461
93,playerid,0.153526132
49,meatball_swing_percent,0.091212631
2,b_ab,0.078248161
75,popups,0.066391804
55,in_zone_swing_miss,0.06612022
74,popups_percent,0.051809146
66,batted_ball,0.043932927
9,b_strikeout,0.03341291
7,b_triple,0.027182573
36,poorlyunder_percent,0.022284095
41,z_swing_miss_percent,0.018771227
43,oz_swing_miss_percent,0.004566996
35,flareburner_percent,0.003569617
89,BsR,0.002626398
44,oz_contact_percent,-0.004193865
61,whiff_percent,-0.018188061
5,b_single,-0.018759698
54,iz_contact_percent,-0.018879159
45,out_zone_swing_miss,-0.048458391
76,G,-0.059899839
11,b_k_percent,-0.06070912
81,SB,-0.072657954
59,edge_percent,-0.074791109
40,z_swing_percent,-0.088025061
1,player_age,-0.08946699
46,out_zone_swing,-0.090465749
67,f_strike_percent,-0.098061975
91,Def,-0.115929062
65,opposite_percent,-0.214630618
64,straightaway_percent,-0.216472475
38,poorlyweak_percent,-0.221793431
69,groundballs,-0.250210917
57,in_zone_percent,-0.294778024
50,meatball_percent,-0.301877923
62,swing_percent,-0.310407228
42,oz_swing_percent,-0.324764335
68,groundballs_percent,-0.394696003
37,poorlytopped_percent,-0.427950573
