last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,
Pujols, Albert,2019,39,491,545,120,75,22,0,23,68,43,12.5,7.9,.244,.430,.305,.734,.246,.412,.312,.314,.309,.161,.322,.324,.278,.284,-0.002,.018,-0.002,88.3,12.4,26,6.0,3.7,23.7,27.8,35.5,3.2,36.3,59.7,11.1,30.8,30.1,69.9,100,332,52.8,1079,67.4,7.0,184,679,2085,88.9,64,576,47.2,965,42.4,867,18.2,44.5,45.7,35.7,18.6,431,15.4,46.2,199,26.7,115,16.9,73,10.2,44,
Cabrera, Miguel,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,.282,.398,.346,.744,.269,.423,.321,.330,.337,.150,.366,.377,.356,.343,.013,-0.025,-0.009,90.3,12.2,25,6.4,7.2,30.5,21.5,33.1,1.3,44.6,67.8,14.7,34.0,40.7,59.3,151,371,54.0,1092,75.3,7.6,185,620,2033,85.3,93,632,46.0,932,42.5,861,24.4,49.6,30.0,37.2,32.8,390,33.9,44.9,175,22.3,87,27.9,109,4.9,19,
Choo, Shin-Soo,2019,37,563,660,149,92,31,2,24,165,78,25.0,11.8,.265,.455,.371,.826,.257,.453,.357,.357,.365,.194,.425,.425,.373,.362,.008,.002,.000,91.3,8.7,35,8.8,9.0,28.1,16.8,33.1,4.3,49.0,63.9,20.9,20.1,55.9,44.1,151,270,50.0,1344,74.7,7.2,397,808,2707,79.1,180,860,50.0,1345,42.8,1151,29.5,42.0,36.1,39.6,24.3,399,26.7,50.6,202,22.3,89,23.6,94,3.5,14,
Encarnacion, Edwin,2019,36,418,486,102,50,18,0,34,103,58,21.2,11.9,.244,.531,.344,.875,.237,.492,.367,.359,.340,.254,.421,.407,.321,.315,.007,.039,.008,90.0,22.5,40,12.6,5.7,21.4,36.5,21.4,2.5,42.0,65.7,20.7,25.2,37.2,62.8,106,285,53.9,1129,75.5,7.0,225,748,2151,79.3,131,634,46.1,965,41.8,876,25.9,43.5,48.1,30.2,21.4,318,22.8,30.8,98,31.1,99,23.0,73,15.1,48,
Jones, Adam,2019,34,485,528,126,84,25,1,16,101,31,19.1,5.9,.260,.414,.313,.727,.252,.408,.311,.310,.307,.153,.356,.355,.326,.318,.007,.006,.001,86.0,13.5,26,6.7,5.4,23.8,24.8,34.1,5.2,30.2,71.3,15.1,39.2,45.8,54.2,185,404,53.6,1030,73.6,6.3,186,614,1923,84.9,96,637,46.4,893,43.1,828,27.0,54.1,39.3,38.0,22.5,387,33.5,43.9,170,25.8,100,21.2,82,9.0,35,
Desmond, Ian,2019,34,443,482,113,58,31,4,20,119,34,24.7,7.1,.255,.479,.309,.788,.270,.458,.332,.336,.324,.186,.415,.420,.347,.367,-0.015,.021,-0.004,90.6,8.4,34,10.4,4.9,24.5,19.6,37.9,2.8,42.2,67.5,17.2,26.1,47.4,52.6,120,253,53.1,971,78.0,6.7,180,473,1830,82.8,100,580,46.9,859,43.8,801,26.4,45.5,29.7,36.7,33.6,327,26.3,47.4,155,22.3,73,24.8,81,5.5,18,
Cruz, Nelson,2019,39,454,521,141,74,26,0,41,131,56,25.1,10.7,.311,.639,.392,1.030,.292,.623,.424,.420,.380,.329,.548,.541,.433,.411,.019,.017,.004,93.7,13.1,65,19.9,8.3,20.6,20.2,28.8,2.1,51.5,69.8,21.9,27.2,54.5,45.5,174,319,55.4,1171,82.6,7.3,223,720,2114,78.1,144,658,44.6,943,40.4,853,32.5,46.2,38.7,36.2,25.2,326,28.8,40.5,132,24.8,81,27.0,88,7.7,25,
Longoria, Evan,2019,34,453,508,115,74,19,2,20,112,43,22.0,8.5,.254,.437,.325,.762,.271,.480,.326,.353,.341,.206,.379,.419,.332,.355,-0.017,-0.043,-0.027,89.7,14.0,26,7.5,8.4,25.1,24.9,32.4,1.7,40.8,64.6,21.1,30.2,35.3,64.7,110,312,51.4,1034,77.2,6.3,225,594,2018,78.9,133,631,48.6,977,42.3,850,25.7,46.8,37.3,40.5,22.3,346,26.4,41.0,142,26.6,92,27.2,94,5.2,18,
Fowler, Dexter,2019,33,487,574,116,72,24,1,19,142,74,24.7,12.9,.238,.409,.345,.754,.245,.402,.329,.334,.353,.154,.378,.387,.332,.344,-0.007,.007,-0.005,85.2,13.0,26,7.4,4.6,28.3,24.6,31.1,4.0,28.4,66.5,21.2,23.0,42.2,57.8,127,301,54.8,1308,78.6,6.4,429,580,2417,78.8,152,718,45.2,1080,44.1,1054,27.2,42.6,36.9,39.4,23.7,350,31.2,39.4,138,26.0,91,28.6,100,6.0,21,
Cabrera, Asdrubal,2019,34,447,514,116,72,25,1,18,103,57,20.0,11.1,.260,.441,.342,.783,.233,.390,.335,.314,.322,.153,.374,.344,.330,.301,.027,.051,.021,88.8,14.1,20,5.7,6.3,26.2,29.3,30.2,2.3,35.3,65.9,16.3,25.1,32.1,67.9,85,265,50.5,1055,71.1,6.5,298,538,2089,83.7,111,681,49.5,1033,45.1,942,20.7,45.3,46.2,32.2,21.7,351,26.1,38.7,136,27.4,96,27.6,97,6.3,22,
