Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Rafael Ortega","Braves (AAA)",28,2019,111,431,493,123,65,34,3,21,83,58,59,1,95,2,1,0,1,14,7,0.28538283,0.373225152,0.524361948,0.8975871,0.38239412615454293,0.119675456,0.192697768,"10323"
"David Freitas","- - -",30,2019,91,328,384,125,90,23,0,12,55,81,47,2,55,4,3,0,19,0,1,0.38109756,0.460732984,0.560975609,1.021708593,0.4364391272005282,0.122395833,0.143229166,"10619"
"Ryan LaMarre","Braves (AAA)",30,2019,112,405,455,126,85,24,8,9,55,53,38,0,118,9,3,0,7,19,9,0.311111111,0.38021978,0.476543209,0.856762989,0.3720538821849194,0.083516483,0.259340659,"10700"
"Rangel Ravelo","Cardinals (AAA)",27,2019,95,334,381,100,67,20,1,12,50,56,37,1,61,9,1,0,9,0,1,0.299401197,0.383202099,0.473053892,0.856255991,0.3694030810343592,0.09711286,0.160104986,"10839"
"Adam Duvall","Braves (AAA)",30,2019,101,369,429,98,42,20,4,32,74,93,48,4,86,10,2,0,9,1,0,0.265582655,0.363636363,0.601626016,0.965262379,0.39707316707162293,0.111888111,0.2004662,"10950"
"Christian Colon","Reds (AAA)",30,2019,136,497,582,149,100,37,2,10,63,70,57,0,58,7,12,9,20,24,13,0.299798792,0.371727748,0.442655935,0.814383683,0.35538456598085466,0.097938144,0.099656357,"11145"
"Dixon Machado","Cubs (AAA)",27,2019,102,329,393,86,49,19,1,17,53,65,54,2,79,4,1,5,8,0,2,0.261398176,0.37113402,0.480243161,0.851377181,0.3628683924057323,0.13740458,0.201017811,"11472"
"Andrew Romine","Phillies (AAA)",33,2019,106,380,417,110,84,15,3,8,57,53,27,0,67,5,3,2,8,21,4,0.289473684,0.342168674,0.407894736,0.75006341,0.3296093613268381,0.064748201,0.160671462,"1159"
"Jarrett Parker","Angels (AAA)",30,2019,96,346,424,92,48,19,1,24,71,75,72,4,125,3,3,0,8,2,1,0.265895953,0.393867924,0.53468208,0.928550004,0.38764221994649795,0.16981132,0.29481132,"11624"
"Mason Williams","Orioles (AAA)",27,2019,121,442,494,136,100,15,3,18,62,67,46,1,86,0,3,3,7,4,7,0.307692307,0.370672097,0.477375565,0.848047662,0.3662418900703897,0.093117408,0.174089068,"11859"
"Travis Taijeron","Mets (AAA)",30,2019,123,371,453,85,37,21,3,24,65,70,64,0,165,16,2,0,12,6,3,0.229110512,0.36423841,0.495956873,0.860195283,0.37000590773344566,0.141280353,0.36423841,"11935"
"Matt Skole","White Sox (AAA)",29,2019,92,314,392,78,42,15,0,21,65,56,70,4,99,2,5,0,6,0,0,0.248407643,0.383631713,0.496815286,0.880446999,0.3754860812687443,0.178571428,0.25255102,"12119"
"Juniel Querecuto","Diamondbacks (AAA)",26,2019,102,386,408,111,77,19,6,9,48,51,16,0,70,2,3,1,10,7,4,0.287564766,0.316953316,0.437823834,0.75477715,0.3198126132716711,0.039215686,0.171568627,"12140"
"Jorge Bonifacio","Royals (AAA)",26,2019,117,451,500,100,57,18,5,20,67,62,38,1,121,4,7,0,5,6,4,0.22172949,0.284,0.416851441,0.700851441,0.2934275752079033,0.076,0.242,"12174"
"Cory Spangenberg","Brewers (AAA)",28,2019,113,424,476,131,84,28,5,14,82,62,43,0,136,6,3,0,3,28,4,0.308962264,0.37815126,0.497641509,0.875792769,0.37317928283655344,0.090336134,0.285714285,"12294"
"Jace Peterson","Orioles (AAA)",29,2019,90,326,377,102,62,25,5,10,58,46,46,0,56,2,3,0,6,13,3,0.312883435,0.397877984,0.512269938,0.910147922,0.3919334433755445,0.122015915,0.148541114,"12325"
"Breyvic Valera","- - -",27,2019,107,379,440,115,78,21,2,14,54,56,50,2,44,4,1,6,6,10,7,0.303430079,0.389400921,0.480211081,0.869612002,0.3775639509161313,0.113636363,0.1,"12758"
"Andy Burns","Blue Jays (AAA)",28,2019,118,411,474,113,74,17,3,19,60,63,57,0,83,2,3,0,14,6,6,0.274939172,0.363636363,0.469586374,0.833222737,0.3609145209350747,0.120253164,0.175105485,"12779"
"Socrates Brito","Blue Jays (AAA)",26,2019,97,394,428,111,60,28,7,16,66,67,29,1,97,0,4,1,4,11,7,0.281725888,0.327868852,0.510152284,0.838021136,0.35144483791270725,0.067757009,0.226635514,"12944"
"Phillip Evans","Cubs (AAA)",26,2019,130,466,539,132,82,30,3,17,79,61,57,0,74,11,5,0,19,1,4,0.283261802,0.371057513,0.469957081,0.841014594,0.3613230357143565,0.105751391,0.13729128,"12950"
"John Andreoli","- - -",29,2019,116,408,507,104,60,25,3,16,68,47,90,1,141,3,6,0,2,12,1,0.25490196,0.388560157,0.448529411,0.837089568,0.36581216416811285,0.177514792,0.278106508,"13012"
"Mikie Mahtook","Tigers (AAA)",29,2019,98,354,415,92,53,17,1,21,64,56,51,1,106,5,4,1,6,14,7,0.259887005,0.357487922,0.491525423,0.849013345,0.3628688991502757,0.122891566,0.255421686,"13130"
"Zach Vincej","Orioles (AAA)",28,2019,101,366,399,99,69,22,0,8,49,51,24,1,64,3,4,2,11,0,4,0.270491803,0.317380352,0.396174863,0.713555215,0.31059053705798256,0.060150375,0.160401002,"13269"
"Deven Marrero","Marlins (AAA)",28,2019,112,383,431,94,61,16,2,15,55,42,43,1,100,1,1,3,12,10,1,0.245430809,0.322429906,0.415143603,0.737573509,0.3171930289380165,0.099767981,0.232018561,"13325"
"Patrick Wisdom","Rangers (AAA)",27,2019,107,396,453,95,49,15,0,31,68,74,53,3,125,2,1,1,8,8,2,0.239898989,0.331858407,0.512626262,0.844484669,0.34777074667287033,0.116997792,0.275938189,"13602"
"Christopher Bostick","Orioles (AAA)",26,2019,106,392,442,101,64,22,3,12,59,50,33,0,99,7,4,6,7,4,2,0.257653061,0.323394495,0.420918367,0.744312862,0.3233406491782687,0.074660633,0.2239819,"13718"
"Matt Reynolds","Nationals (AAA)",28,2019,111,376,449,111,62,29,4,16,65,55,64,1,95,4,2,3,9,8,2,0.295212765,0.401345291,0.521276595,0.922621886,0.3920035821668218,0.142538975,0.211581291,"13788"
"Seth Mejias-Brean","Padres (AAA)",28,2019,117,411,448,130,98,18,3,11,69,66,33,1,79,3,1,0,8,4,2,0.316301703,0.370535714,0.454987834,0.825523548,0.3564736772436957,0.073660714,0.176339285,"13905"
"Patrick Kivlehan","- - -",29,2019,114,413,470,99,49,18,3,29,59,75,45,1,132,9,2,1,12,0,1,0.239709443,0.326226012,0.508474576,0.834700588,0.35158595557396227,0.09574468,0.280851063,"13910"
"Eric Haase","Indians (AAA)",26,2019,102,350,401,79,36,12,3,28,67,60,42,0,142,5,3,1,3,1,1,0.225714285,0.315,0.517142857,0.832142857,0.3479077050089836,0.104738154,0.354114713,"14111"
"Tim Lopes","Mariners (AAA)",25,2019,95,374,420,113,70,31,2,10,59,60,36,0,72,3,7,0,7,26,9,0.302139037,0.361904761,0.475935828,0.837840589,0.3562797527937662,0.085714285,0.171428571,"14137"
"Dilson Herrera","Mets (AAA)",25,2019,117,407,460,101,47,29,1,24,66,64,43,2,127,8,2,0,5,12,5,0.248157248,0.330434782,0.501228501,0.831663283,0.3510108685129074,0.09347826,0.276086956,"14335"
"Brett Phillips","Royals (AAA)",25,2019,105,333,414,80,41,8,13,18,75,54,72,2,118,3,2,4,4,22,1,0.24024024,0.37804878,0.504504504,0.882553284,0.37188852753709345,0.173913043,0.285024154,"14735"
"Pat Valaika","Rockies (AAA)",26,2019,84,350,383,112,63,26,1,22,60,75,27,0,90,0,5,1,10,5,1,0.32,0.363874345,0.588571428,0.952445773,0.3894125106134964,0.070496083,0.234986945,"14885"
"Daniel Palka","White Sox (AAA)",27,2019,106,395,471,104,54,23,0,27,83,72,72,4,109,0,4,0,8,2,0,0.263291139,0.373673036,0.526582278,0.900255314,0.3796982060663195,0.152866242,0.231422505,"14897"
"Jack Reinheimer","Orioles (AAA)",26,2019,106,342,391,84,63,15,2,4,43,31,40,0,77,2,6,1,3,12,4,0.245614035,0.323076923,0.336257309,0.659334232,0.2972805960056109,0.10230179,0.196930946,"14938"
"Boog Powell","Padres (AAA)",26,2019,105,340,403,98,64,25,1,8,66,37,59,0,94,0,3,1,7,14,0,0.288235294,0.390547263,0.438235294,0.828782557,0.3643870269184682,0.146401985,0.23325062,"15103"
"Jordan Patterson","Blue Jays (AAA)",27,2019,104,359,401,84,47,19,2,16,61,47,24,2,129,15,1,2,12,3,1,0.233983286,0.308270676,0.431754874,0.74002555,0.31796632560734783,0.059850374,0.32169576,"15119"
"Ian Miller","- - -",27,2019,121,450,514,119,72,30,6,11,72,58,51,1,89,8,5,0,7,35,7,0.264444444,0.346303501,0.431111111,0.777414612,0.33543305833902043,0.099221789,0.17315175,"15156"
"Zack Granite","Rangers (AAA)",26,2019,119,504,541,146,117,18,8,3,66,37,31,0,45,2,4,0,6,25,13,0.289682539,0.330868761,0.375,0.705868761,0.31010573154897214,0.057301293,0.083179297,"15343"
"Jack Mayfield","Astros (AAA)",28,2019,100,380,431,109,56,26,1,26,78,79,37,0,78,5,9,0,11,7,1,0.286842105,0.350348027,0.565789473,0.9161375,0.37321917335837734,0.085846867,0.180974477,"15402"
"Nate Orf","Brewers (AAA)",29,2019,125,405,499,110,77,21,1,11,85,54,65,1,74,22,2,5,6,11,3,0.271604938,0.398785425,0.409876543,0.808661968,0.36316105874508436,0.130260521,0.148296593,"15407"
"Abiatal Avelino","Giants (AAA)",24,2019,121,473,502,134,90,24,8,12,70,62,23,2,84,0,3,3,10,17,5,0.283298097,0.314629258,0.44397463,0.758603888,0.31863854288815013,0.045816733,0.167330677,"15496"
"Franklin Barreto","Athletics (AAA)",23,2019,98,373,424,110,57,29,5,19,88,65,42,0,113,6,2,1,11,15,1,0.294906166,0.373522458,0.55227882,0.925801278,0.3854606658854383,0.099056603,0.266509433,"15519"
"Yonathan Daza","Rockies (AAA)",25,2019,89,387,418,141,96,30,4,11,67,48,25,0,52,2,2,2,5,12,9,0.364341085,0.403846153,0.547803617,0.95164977,0.4029791273463231,0.059808612,0.124401913,"15794"
"Erick Mejia","Royals (AAA)",24,2019,128,495,556,134,99,22,6,7,83,63,50,0,103,3,3,5,4,19,6,0.27070707,0.33938294,0.381818181,0.721201121,0.3184135727138139,0.089928057,0.185251798,"15817"
"Travis Demeritte","Braves (AAA)",24,2019,96,339,399,97,47,28,2,20,68,73,51,0,106,6,2,1,5,4,3,0.286135693,0.386934673,0.557522123,0.944456796,0.39984064949816794,0.127819548,0.26566416,"15958"
"Deivy Grullon","Phillies (AAA)",23,2019,108,407,457,115,70,24,0,21,55,77,45,0,133,2,3,0,5,1,0,0.282555282,0.354485776,0.496314496,0.850800272,0.3639294608155799,0.098468271,0.291028446,"15988"
"Kean Wong","Rays (AAA)",24,2019,113,453,506,139,94,29,6,10,71,63,42,1,112,8,1,2,6,6,3,0.306843267,0.375,0.463576158,0.838576158,0.36532096170762896,0.083003952,0.221343873,"15994"
"Mike Gerber","Giants (AAA)",26,2019,119,464,513,143,75,41,1,26,95,83,39,0,140,7,3,0,10,5,4,0.308189655,0.368421052,0.568965517,0.937386569,0.38772352350617945,0.076023391,0.272904483,"16115"
"Domingo Leyba","Diamondbacks (AAA)",23,2019,112,457,498,137,78,37,3,19,85,77,32,1,78,6,3,0,8,0,2,0.299781181,0.351405622,0.518599562,0.870005184,0.3630484051147937,0.064257028,0.156626506,"16404"
"Richard Urena","Blue Jays (AAA)",23,2019,98,369,403,101,73,18,4,6,43,52,23,1,85,1,5,4,11,3,2,0.273712737,0.314070351,0.392953929,0.70702428,0.3066597358706015,0.05707196,0.210918114,"16411"
"Jason Martin","Pirates (AAA)",23,2019,101,370,406,96,58,25,5,8,47,50,29,1,79,1,4,2,3,9,6,0.259459459,0.311881188,0.418918918,0.730800106,0.3141993716100309,0.071428571,0.19458128,"16429"
"Ryan McBroom","Yankees (AAA)",27,2019,117,413,482,130,75,29,0,26,87,66,58,3,100,6,5,0,9,2,2,0.314769975,0.402489626,0.573849878,0.976339504,0.41068134389988814,0.12033195,0.207468879,"16524"
"Mauricio Dubon","- - -",24,2019,123,503,539,152,105,26,1,20,82,56,28,2,68,5,0,1,6,10,8,0.302186878,0.345149253,0.477137176,0.822286429,0.347767153147901,0.051948051,0.126159554,"16530"
"Connor Joe","Dodgers (AAA)",26,2019,105,360,446,108,66,26,1,15,82,68,72,0,81,10,4,0,10,1,2,0.3,0.426008968,0.502777777,0.928786745,0.40191156661029354,0.161434977,0.181614349,"16572"
"Brian O'Grady","Reds (AAA)",27,2019,112,429,489,120,61,30,1,28,71,77,51,2,136,4,4,0,1,20,4,0.279720279,0.358606557,0.55011655,0.908723107,0.3805448477896153,0.104294478,0.278118609,"16729"
"Josh Fuentes","Rockies (AAA)",26,2019,101,402,437,102,60,23,2,17,66,64,25,1,118,2,4,4,8,1,1,0.253731343,0.297921478,0.447761194,0.745682672,0.310656047253697,0.057208237,0.270022883,"16885"
"Rusney Castillo","Red Sox (AAA)",31,2019,120,460,493,128,85,25,1,17,63,64,25,1,63,5,2,0,17,5,9,0.278260869,0.321138211,0.447826086,0.768964297,0.32986942583091877,0.050709939,0.127789046,"17016"
"Edmundo Sosa","Cardinals (AAA)",23,2019,118,453,496,132,92,18,5,17,70,62,17,0,96,16,6,4,9,2,3,0.291390728,0.335365853,0.465783664,0.801149517,0.3388394540160652,0.034274193,0.193548387,"17022"
"Dustin Fowler","Athletics (AAA)",24,2019,130,556,606,154,100,22,7,25,98,89,42,1,145,6,2,0,6,12,4,0.276978417,0.333333333,0.476618705,0.809952038,0.3407234632279262,0.06930693,0.239273927,"17098"
"Yasmany Tomas","Diamondbacks (AAA)",28,2019,102,405,431,122,66,24,3,29,63,82,22,1,110,3,1,0,14,2,0,0.301234567,0.341067285,0.590123456,0.931190741,0.37806610312572747,0.051044083,0.255220417,"17171"
"Bobby Bradley","Indians (AAA)",23,2019,107,402,453,106,50,23,0,33,65,74,46,2,153,4,1,0,8,0,0,0.263681592,0.34437086,0.567164179,0.911535039,0.3789120095796437,0.101545253,0.337748344,"17278"
"Willi Castro","Tigers (AAA)",22,2019,119,465,525,140,93,28,8,11,75,62,37,0,110,14,6,3,4,17,4,0.301075268,0.365900383,0.466666666,0.832567049,0.3605757948310896,0.07047619,0.209523809,"17338"
"Taylor Ward","Angels (AAA)",25,2019,106,421,512,129,67,34,1,27,102,71,80,1,101,9,1,0,7,11,5,0.306413301,0.426614481,0.58432304,1.010937521,0.4233486023603701,0.15625,0.197265625,"17548"
"Blake Trahan","Reds (AAA)",25,2019,101,354,386,80,59,14,2,5,34,29,22,0,84,5,3,2,6,3,5,0.2259887,0.278645833,0.319209039,0.597854872,0.2664107678768535,0.056994818,0.21761658,"17588"
"Kevin Kramer","Pirates (AAA)",25,2019,113,393,448,102,61,30,1,10,49,54,43,0,116,5,7,0,7,4,5,0.259541984,0.334821428,0.417302798,0.752124226,0.3280539154740317,0.095982142,0.258928571,"17689"
"Ian Happ","Cubs (AAA)",24,2019,99,359,429,87,52,18,1,16,66,53,65,0,113,4,1,0,0,9,2,0.242339832,0.363636363,0.431754874,0.795391237,0.34788016436539054,0.151515151,0.263403263,"17919"
"Isan Diaz","Marlins (AAA)",23,2019,102,377,435,115,66,21,2,26,89,70,49,3,96,7,0,2,4,5,4,0.305039787,0.394919168,0.578249336,0.973168504,0.40313561919123625,0.112643678,0.220689655,"17922"
"Sam Hilliard","Rockies (AAA)",25,2019,126,500,559,131,60,29,7,35,109,101,54,1,164,2,3,0,7,22,5,0.262,0.334525939,0.558,0.892525939,0.3632989016271407,0.096601073,0.293381037,"17954"
"Seth Brown","Athletics (AAA)",26,2019,112,451,500,134,62,29,6,37,101,104,38,1,127,4,7,0,3,8,1,0.297117516,0.352,0.634146341,0.986146341,0.393693271643652,0.076,0.254,"18171"
"Edwin Rios","Dodgers (AAA)",25,2019,104,393,444,106,50,23,2,31,72,91,37,0,153,8,6,0,3,2,2,0.269720101,0.34009009,0.575063613,0.915153703,0.3709501187812101,0.083333333,0.344594594,"18316"
"Kyle Tucker","Astros (AAA)",22,2019,125,463,536,123,60,26,3,34,92,97,60,1,116,6,5,0,6,30,5,0.265658747,0.353932584,0.555075593,0.909008177,0.3729083004632989,0.111940298,0.21641791,"18345"
"Jared Walsh","Angels (AAA)",25,2019,98,382,454,124,58,30,0,36,90,86,59,0,115,9,4,0,8,0,0,0.324607329,0.422907488,0.685863874,1.108771362,0.4476497320351622,0.129955947,0.253303964,"18607"
