,Stat,r
1,year,NA
81,n_ff_formatted,NA
82,ff_avg_speed,NA
83,ff_avg_spin,NA
84,ff_avg_break_x,NA
85,ff_avg_break_z,NA
86,ff_avg_break,NA
87,ff_range_speed,NA
88,n_sl_formatted,NA
89,sl_avg_speed,NA
90,sl_avg_spin,NA
91,sl_avg_break_x,NA
92,sl_avg_break_z,NA
93,sl_avg_break,NA
94,sl_range_speed,NA
95,n_ch_formatted,NA
96,ch_avg_speed,NA
97,ch_avg_spin,NA
98,ch_avg_break_x,NA
99,ch_avg_break_z,NA
100,ch_avg_break,NA
101,ch_range_speed,NA
102,n_cukc_formatted,NA
103,cu_avg_speed,NA
104,cu_avg_spin,NA
105,cu_avg_break_x,NA
106,cu_avg_break_z,NA
107,cu_avg_break,NA
108,cu_range_speed,NA
109,n_sift_formatted,NA
110,si_avg_speed,NA
111,si_avg_spin,NA
112,si_avg_break_x,NA
113,si_avg_break_z,NA
114,si_avg_break,NA
115,si_range_speed,NA
116,n_fc_formatted,NA
117,fc_avg_speed,NA
118,fc_avg_spin,NA
119,fc_avg_break_x,NA
120,fc_avg_break_z,NA
121,fc_avg_break,NA
122,fc_range_speed,NA
123,n_fs_formatted,NA
124,fs_avg_speed,NA
125,fs_avg_spin,NA
126,fs_avg_break_x,NA
127,fs_avg_break_z,NA
128,fs_avg_break,NA
129,fs_range_speed,NA
137,n_breaking_formatted,NA
138,breaking_avg_speed,NA
139,breaking_avg_spin,NA
140,breaking_avg_break_x,NA
141,breaking_avg_break_z,NA
142,breaking_avg_break,NA
143,breaking_range_speed,NA
144,n_offspeed_formatted,NA
145,offspeed_avg_speed,NA
146,offspeed_avg_spin,NA
147,offspeed_avg_break_x,NA
148,offspeed_avg_break_z,NA
149,offspeed_avg_break,NA
150,offspeed_range_speed,NA
165,FIP.,1
162,FIP,0.984987136
23,xwoba,0.86225793
163,xFIP,0.850429346
24,xobp,0.811153069
22,woba,0.796194535
21,xslg,0.793355056
19,on_base_plus_slg,0.791917648
18,on_base_percent,0.734880828
17,slg_percent,0.732896136
25,xiso,0.693137249
161,ERA,0.676291493
20,xba,0.67576327
58,iz_contact_percent,0.626314143
16,batting_avg,0.602054908
159,HR.9,0.598563406
47,oz_contact_percent,0.552349907
35,barrels,0.528143563
152,L,0.511310155
11,p_home_run,0.432192282
70,batted_ball,0.405336109
158,BB.9,0.398065448
7,p_total_hits,0.384378341
36,barrel_batted_rate,0.378437982
42,hard_hit_percent,0.354520375
67,pull_percent,0.346300111
27,xwobacon,0.341020785
33,exit_velocity_avg,0.340626131
15,p_bb_percent,0.332353399
75,flyballs,0.329131844
77,linedrives,0.31421775
13,p_walk,0.285415019
8,p_single,0.278158765
153,SV,0.21867997
73,groundballs,0.208594932
29,xbacon,0.203015201
26,wobacon,0.183802884
130,n_fastball_formatted,0.155658256
3,p_game,0.151467174
154,G,0.151467174
9,p_double,0.150600681
28,bacon,0.128290926
79,popups,0.114515385
74,flyballs_percent,0.113732972
50,out_zone_percent,0.096921148
52,meatball_swing_percent,0.092170912
155,GS,0.080556792
34,launch_angle_avg,0.079983549
43,z_swing_percent,0.058476324
10,p_triple,0.054745724
160,BABIP,0.051884653
133,fastball_avg_break_x,0.03873761
136,fastball_range_speed,0.031831301
63,edge_percent,0.02220477
68,straightaway_percent,0.019964825
55,pitch_count_fastball,0.015894006
39,poorlyunder_percent,0.013908582
76,linedrives_percent,0.007420327
30,xbadiff,-0.016679026
78,popups_percent,-0.028218602
54,pitch_count_offspeed,-0.032782056
38,flareburner_percent,-0.033143286
53,meatball_percent,-0.035412675
2,player_age,-0.036178258
166,playerid,-0.047917157
72,groundballs_percent,-0.066127673
40,poorlytopped_percent,-0.075392855
41,poorlyweak_percent,-0.076532999
37,solidcontact_percent,-0.076683275
61,in_zone_percent,-0.096921148
32,wobadif,-0.113217302
31,xslgdiff,-0.121450902
5,p_total_pa,-0.123455224
51,out_zone,-0.13816499
56,pitch_count_breaking,-0.173148575
64,edge,-0.208987292
60,in_zone_swing,-0.219107564
6,p_ab,-0.22345511
135,fastball_avg_break,-0.247476725
132,fastball_avg_spin,-0.254773513
57,pitch_count,-0.259693651
62,in_zone,-0.266291307
66,swing_percent,-0.329835973
71,f_strike_percent,-0.348664031
80,n,-0.381748387
4,p_formatted_ip,-0.405169278
156,IP,-0.405169278
134,fastball_avg_break_z,-0.41000371
151,W,-0.412978813
131,fastball_avg_speed,-0.413424931
49,out_zone_swing,-0.42453883
69,opposite_percent,-0.453867272
45,oz_swing_percent,-0.540434475
46,oz_swing_miss_percent,-0.552567755
59,in_zone_swing_miss,-0.56994637
48,out_zone_swing_miss,-0.600939937
44,z_swing_miss_percent,-0.627032971
65,whiff_percent,-0.694226217
157,K.9,-0.696628376
12,p_strikeout,-0.712621038
14,p_k_percent,-0.744678316
164,WAR,-0.961546099
