last_name, first_name,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,fastball_range_speed,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break,breaking_range_speed,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break,offspeed_range_speed,
Wainwright, Adam,2019,38,31,171.2,745,662,181,118,38,3,22,153,64,20.5,8.6,.273,.440,.340,.779,.262,.419,.333,.327,.334,.155,.387,.378,.352,.340,.011,.021,.006,88.1,9.7,36,6.9,5.0,26.2,20.6,37.1,4.2,39.2,60.0,12.4,24.8,36.0,64.0,128,356,51.5,1434,74.1,7.8,58,1701,1025,2876,87.6,100,809,48.5,1349,41.4,1153,19.3,41.9,39.2,40.4,20.4,520,24.7,49.4,257,20.0,104,25.0,130,5.6,29,R,3018,13.2,89.6,2195,-3.1,-20.1,14.1,1.5,,,,,,,,1.8,83.9,1769,-14.4,-31.0,16.9,1.6,37.6,74.9,2754,18.4,-62.3,22.1,2.2,25.0,90.0,2178,-12.9,-23.9,16.2,1.4,22.2,84.9,2345,5.6,-32.2,8.5,1.7,,,,,,,,,,,,,,,60.5,88.0,2242,-4.0,-26.1,12.9,3.1,37.6,74.9,2754,18.4,-62.3,22.1,2.2,1.8,83.9,1769,-14.4,-31.0,16.9,1.6,
Stroman, Marcus,2019,28,32,184.1,774,711,183,131,32,2,18,159,58,20.5,7.5,.257,.384,.313,.697,.245,.363,.302,.292,.302,.114,.349,.335,.330,.315,.012,.021,.010,87.5,5.2,23,4.1,5.8,24.5,19.3,42.5,3.8,35.2,64.5,14.8,28.6,42.8,57.2,205,479,55.1,1677,78.0,6.1,162,1914,970,3047,85.2,131,883,44.9,1369,42.6,1299,24.7,44.7,36.2,38.2,25.6,555,26.1,53.9,299,17.8,99,23.1,128,5.2,29,R,3046,2.3,92.9,2455,-6.3,-18.7,15.3,1.3,30.8,85.7,2838,11.2,-37.8,11.6,2,5.3,87.0,1929,-13.9,-30.1,15.8,2.1,0.9,75.4,2671,15.3,-55.6,16,2.5,36.3,92.5,2345,-12.0,-28.1,13.1,0.9,24.1,91.0,2615,1.1,-27.2,7.1,1.1,,,,,,,,,,,,,,,62.8,91.9,2452,-6.8,-27.4,10.9,1.3,31.8,85.4,2832,11.3,-38.4,11.8,2.9,5.3,87.0,1929,-13.9,-30.1,15.8,2.1,
Ryu, Hyun-Jin,2019,32,29,182.2,723,685,160,108,35,0,17,163,24,22.5,3.3,.234,.359,.260,.619,.252,.365,.266,.282,.282,.110,.327,.350,.305,.331,-0.018,-0.006,-0.016,85.3,6.0,25,4.7,5.5,26.3,18.0,38.7,6.8,30.8,66.8,18.1,33.2,37.5,62.5,176,469,52.2,1412,72.2,5.8,743,1625,337,2706,81.9,156,863,47.8,1292,44.2,1196,24.9,49.3,33.8,41.2,25.0,532,26.6,52.6,280,16.0,85,26.9,143,4.5,24,L,2778,27.1,90.7,2085,10.2,-19.5,16.9,1.4,0.2,80.1,2379,-4.3,-46.3,5.8,1.5,27.8,80.2,1496,12.7,-36.6,14.1,1.9,12.3,72.8,2577,-13.4,-66.0,18.8,2.4,13.1,90.1,2021,15.6,-24.7,17.9,1.6,19.2,87.0,2066,-1.1,-28.9,7.6,1.8,,,,,,,,,,,,,,,59.5,89.4,2065,7.7,-23.7,14.1,2.5,12.5,72.9,2573,-13.2,-65.6,18.5,2.6,27.8,80.2,1496,12.7,-36.6,14.1,1.9,
Porcello, Rick,2019,31,32,174.1,768,712,198,119,43,5,31,143,45,18.6,5.9,.278,.483,.324,.807,.258,.465,.342,.330,.307,.204,.398,.382,.347,.322,.020,.018,.012,88.1,15.5,55,9.6,6.6,21.8,28.3,28.4,5.2,37.2,67.0,13.6,29.4,29.0,71.0,121,417,47.8,1416,79.2,8.3,349,1688,923,2960,86.4,141,1035,52.2,1544,44.5,1317,18.0,49.1,40.0,37.7,22.3,573,29.4,38.9,223,25.8,148,25.7,147,9.6,55,R,2960,31.4,91.0,2434,-9.0,-17.9,18,1.3,18.6,84.3,2555,3.4,-34.9,6.2,1.7,11.7,80.8,1600,-13.9,-34.6,16.2,1.6,12.5,74.9,2810,15.1,-58.3,16.9,1.7,25.5,89.5,2289,-16.7,-26.6,18.6,1.5,,,,,,,,,,,,,,,,,,,,,,57.0,90.4,2369,-12.4,-21.8,18.3,1.6,31.1,80.5,2658,8.1,-44.4,10.5,5.4,11.7,80.8,1600,-13.9,-34.6,16.2,1.6,
Morton, Charlie,2019,36,33,194.2,790,717,154,100,33,6,15,240,57,30.4,7.2,.215,.340,.282,.623,.217,.330,.273,.274,.285,.110,.349,.351,.321,.325,-0.002,.010,-0.001,86.7,9.1,24,5.0,6.2,23.9,22.5,38.7,3.7,32.4,63.1,19.2,30.7,52.2,47.8,245,469,48.7,1529,72.8,8.0,102,1865,1172,3139,80.8,195,1015,51.3,1609,41.7,1310,29.6,47.3,35.6,37.0,27.4,481,27.3,48.2,232,20.0,96,25.4,122,6.4,31,R,3325,29.9,94.8,2265,-13.6,-18.2,18.8,1.1,,,,,,,,,,,,,,,37.5,78.7,2892,18.6,-55.3,20.9,1.2,19.3,93.9,2108,-18.7,-26.1,19.5,1.2,10.0,85.4,2437,4.2,-36.3,5.6,1.6,3.0,84.9,2124,-20.0,-35.5,20.4,1.3,,,,,,,,59.3,92.9,2241,-12.3,-23.9,16.8,4,37.5,78.7,2892,18.6,-55.3,20.9,1.2,3.0,84.9,2124,-20.0,-35.5,20.4,1.3,
Giolito, Lucas,2019,25,29,176.2,705,640,131,75,28,4,24,228,57,32.3,8.1,.205,.373,.272,.646,.210,.353,.279,.279,.280,.141,.372,.373,.316,.328,-0.005,.020,.000,87.8,17.3,39,9.4,3.4,25.5,30.0,27.4,4.3,34.6,67.9,26.3,27.5,50.7,49.3,179,353,45.7,1285,81.7,9.1,736,1548,530,2814,73.7,273,1038,54.3,1529,43.4,1222,32.5,49.4,39.2,33.7,27.2,416,32.1,36.3,151,23.8,99,28.1,117,11.8,49,R,2814,55.0,94.2,2333,-7.6,-12.3,19.8,1.4,14.7,84.6,2036,2.6,-32.3,6.8,1.5,26.1,81.7,1563,-10.2,-27.9,16.3,1.4,4.1,79.4,2512,6.8,-59.6,16.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,94.2,2333,-7.6,-12.3,19.8,1.4,18.8,83.4,2140,3.6,-38.3,9,2.8,26.1,81.7,1563,-10.2,-27.9,16.3,1.4,
Davies, Zach,2019,26,31,159.2,672,606,155,103,27,5,20,102,51,15.2,7.6,.256,.416,.310,.725,.279,.453,.313,.339,.335,.171,.336,.371,.305,.333,-0.023,-0.037,-0.026,87.4,12.8,37,7.2,6.0,26.4,26.4,29.7,4.5,33.5,66.3,11.5,27.5,27.3,72.7,119,436,59.2,1585,79.6,3.7,836,1725,115,2680,88.5,83,723,40.8,1091,46.7,1251,17.4,43.3,32.9,41.3,25.8,516,22.9,41.5,214,22.7,117,28.3,146,7.6,39,R,2676,,,,,,,,0.7,80.4,2426,5.3,-43.3,6.1,1.6,31.2,80.0,1785,-15.3,-35.3,17.5,1.1,3.5,75.5,2636,8.7,-59.3,12.9,1.4,52.6,88.4,2233,-16.1,-22.8,20.8,1.3,11.8,87.0,2313,-4.6,-24.1,13.6,1.3,,,,,,,,,,,,,,,64.4,88.1,2248,-14.0,-23.1,19.5,1.4,4.2,76.4,2603,8.1,-56.5,11.7,2.3,31.2,80.0,1785,-15.3,-35.3,17.5,1.1,
Corbin, Patrick,2019,30,33,202.0,835,746,169,107,37,1,24,238,70,28.5,8.4,.227,.375,.290,.665,.227,.401,.288,.303,.295,.171,.366,.390,.328,.331,.000,-0.026,-0.015,88.9,7.5,49,9.4,5.9,20.4,20.8,39.3,4.2,38.7,64.5,15.8,34.3,53.4,46.6,351,657,58.1,1918,71.3,5.4,189,1771,1339,3299,84.2,141,891,41.9,1381,42.0,1387,31.8,46.9,33.2,39.7,27.1,524,34.5,50.8,266,21.9,115,23.5,123,3.8,20,L,3559,20.0,92.0,2295,8.7,-16.9,17.8,1.7,37.8,81.8,2400,-3.5,-42.0,4.2,2,5.4,81.8,1648,10.6,-30.5,15.1,2.3,3.3,67.8,1989,-3.6,-61.3,4.3,2.4,33.2,91.9,2201,14.7,-21.4,18.4,1.7,,,,,,,,,,,,,,,,,,,,,,53.3,92.0,2236,12.4,-19.7,18.2,1.7,41.2,80.7,2366,-3.5,-43.5,4.2,4.8,5.4,81.8,1648,10.6,-30.5,15.1,2.3,
deGrom, Jacob,2019,31,32,204.0,804,745,154,106,28,1,19,255,44,31.7,5.5,.207,.323,.255,.578,.205,.315,.252,.252,.256,.107,.338,.338,.312,.311,.002,.008,.000,85.8,12.0,25,5.0,5.0,25.9,25.7,33.9,4.4,30.8,73.0,24.2,35.0,46.1,53.9,273,592,53.0,1690,78.1,7.0,506,1570,1115,3297,75.8,265,1095,47.0,1501,45.0,1437,31.5,52.9,34.5,37.6,27.9,498,36.1,45.2,225,21.9,109,23.7,118,9.2,46,R,3191,48.1,96.9,2388,-5.7,-12.2,17.4,1.2,32.0,92.5,2454,3.0,-24.6,7.6,1.2,15.8,90.3,1703,-13.6,-28.6,14.4,1.5,2.9,84.3,2567,6.2,-40.9,7,1.8,1.0,96.7,2281,-11.4,-15.3,17.6,1.6,,,,,,,,,,,,,,,,,,,,,,49.2,96.9,2385,-5.8,-12.2,17.4,1.2,34.9,91.8,2460,3.3,-26.0,7.6,2.8,15.8,90.3,1703,-13.6,-28.6,14.4,1.5,
Scherzer, Max,2019,35,27,172.1,693,650,144,83,43,0,18,243,33,35.1,4.8,.222,.371,.266,.636,.202,.324,.273,.251,.249,.120,.395,.359,.352,.324,.020,.047,.022,87.4,13.3,27,6.6,5.9,26.9,25.9,29.6,5.1,35.2,70.1,26.0,34.1,50.5,49.5,236,467,49.5,1370,77.6,7.9,401,1555,814,2770,74.0,255,980,50.5,1399,41.2,1141,33.9,52.2,36.9,35.2,27.9,409,36.4,41.3,169,24.9,102,26.7,109,7.1,29,R,3070,48.6,95.0,2479,-12.1,-16.6,18.8,1.5,20.3,85.6,2374,3.2,-36.1,4.4,1.4,14.4,84.4,1548,-15.6,-36.0,16.1,1.5,8.8,78.7,2726,10.8,-51.0,12.5,1.7,,,,,,,,7.5,89.9,2435,-0.4,-26.7,8.2,1.3,,,,,,,,,,,,,,,56.2,94.3,2473,-10.5,-17.9,17.4,2.5,29.2,83.5,2483,5.5,-40.6,6.9,3.8,14.4,84.4,1548,-15.6,-36.0,16.1,1.5,
